Case,Mean MPI,Mean Comp,Mean Total,Mean Fence,Mean Initialization,Variance MPI,Variance Comp,Variance Total,Variance Fence,Variance Initialization,Standard Deviation MPI,Standard Deviation Comp,Standard Deviation total,Standar Deviation Fence,Standar Deviation Initialization
../Task2/results/Phase1/result_64x64.csv,0.00019265,9.8e-06,0.0065339,Not found,0.0063452,1.200275e-10,6.959999999999999e-12,7.907469529e-05,Not found,7.907737905999998e-05,1.095570627572682e-05,2.6381811916545837e-06,0.008892395362892947,Not found,0.008892546264147294
../Task2/results/Phase1/result_128x128.csv,0.00057445,3.6450000000000005e-05,0.013938349999999999,Not found,0.01334245,6.448474999999999e-10,5.475e-13,9.304670222749999e-05,Not found,9.31249539475e-05,2.5393847680097633e-05,7.399324293474371e-07,0.00964607185477591,Not found,0.009650127146701229
../Task2/results/Phase1/result_256x256.csv,0.0011300000000000001,0.00022045000000000002,0.03644455,Not found,0.0351266,2.0679000000000007e-09,1.7347499999999963e-11,0.00022913280544749993,Not found,0.00022921544143999999,4.547416849157333e-05,4.165033013074442e-06,0.015137133329910915,Not found,0.015139862662521084
../Task2/results/Phase1/result_512x512.csv,0.0031829499999999995,0.0015788500000000001,0.1141729,Not found,0.1095225,4.069047500000005e-09,9.967274999999993e-10,0.00011316590789000005,Not found,0.00011298482484999994,6.378908605709919e-05,3.1570991432009214e-05,0.010637946601200819,Not found,0.010629432009754799
../Task2/results/Phase1/result_1024x1024.csv,0.0220528,0.0180153,0.44995525000000003,Not found,0.41021095,4.2537595999999997e-07,4.1667309999999965e-08,0.00033839995508750016,Not found,0.00034112696124750014,0.0006522085249366187,0.00020412572106424994,0.018395650439370175,Not found,0.01846962266121049
../Task2/results/Phase1/result_2048x2048.csv,0.04737505,0.30126590000000003,1.9491254000000002,Not found,1.6016193,1.1229182475000007e-06,2.161628900000039e-07,0.0012035538036400029,Not found,0.0012132767990100004,0.0010596783698368108,0.0004649332102571335,0.03469227296733385,Not found,0.03483212309076207
../Task2/results/Phase1/result_4096x4096.csv,0.35243205,2.5221891,9.24233995,Not found,6.3938796,0.0033491263707475004,0.0004153570452899989,0.005326284608447527,Not found,0.0023120981661400083,0.05787163701458168,0.02038031023537176,0.07298139905789369,Not found,0.04808428190313346
