Case,Mean MPI,Mean Comp,Mean Total,Mean Fence,Mean Initialization,Variance MPI,Variance Comp,Variance Total,Variance Fence,Variance Initialization,Standard Deviation MPI,Standard Deviation Comp,Standard Deviation total,Standar Deviation Fence,Standar Deviation Initialization
../Task3/results/Phase1/result_64x64.csv,0.00010305,7.45e-06,0.02256855,Not found,0.02182125,1.211475e-10,3.8474999999999995e-12,6.92174073475e-05,Not found,6.90542839875e-05,1.100670250347487e-05,1.961504524593303e-06,0.008319699955376996,Not found,0.008309890732584875
../Task3/results/Phase1/result_128x128.csv,0.0001707,3.405e-05,0.022502050000000003,Not found,0.020826900000000002,1.0933909999999998e-08,4.7499999999999734e-14,4.722761547499999e-06,Not found,4.91860919e-06,0.00010456533842531185,2.1794494717703307e-07,0.002173191557939612,Not found,0.002217793766336266
../Task3/results/Phase1/result_256x256.csv,0.00100855,0.00021985,0.02786685,Not found,0.02574995,4.160747500000002e-09,3.262750000000002e-11,0.0005042541726274998,Not found,0.0005020668414474999,6.450385647385745e-05,5.712048669260445e-06,0.022455604481454065,Not found,0.022406848092659082
../Task3/results/Phase1/result_512x512.csv,0.00170635,0.0015490999999999999,0.03358265,Not found,0.029182049999999998,7.392327500000001e-09,2.1929000000000023e-10,0.0013475761649275001,Not found,0.0013493144203475002,8.597864560459185e-05,1.4808443537387724e-05,0.036709347105710013,Not found,0.03673301539960339
../Task3/results/Phase1/result_1024x1024.csv,0.01495165,0.01795045,0.06547905000000001,Not found,0.030404999999999998,5.0299559274999985e-06,1.605805475000003e-07,0.0010919753876474998,Not found,0.0010903230804,0.002242756323700816,0.00040072502729427854,0.033045050879783794,Not found,0.03302004058749777
../Task3/results/Phase1/result_2048x2048.csv,0.02019835,0.3006045,0.3753115,Not found,0.0463681,2.7538342274999993e-06,1.3555831499999973e-06,0.0035881634161500004,Not found,0.00362689313569,0.0016594680555828724,0.0011642951301109171,0.05990128058856505,Not found,0.06022369247804389
../Task3/results/Phase1/result_4096x4096.csv,0.24301050000000002,2.5030079,2.88905175,Not found,0.09427345000000001,0.006260135075750001,7.79940816900004e-05,0.015000682961087492,Not found,0.010510143204947501,0.07912101538624236,0.008831425801647228,0.12247727528438691,Not found,0.10251898948461939
