Case,Mean MPI,Mean Comp,Mean Total,Mean Fence,Mean Initialization,Variance MPI,Variance Comp,Variance Total,Variance Fence,Variance Initialization,Standard Deviation MPI,Standard Deviation Comp,Standard Deviation total,Standar Deviation Fence,Standar Deviation Initialization
../Task3/results/Phase2/result_64x64.csv,6.855e-05,5.75e-06,0.0196904,Not found,0.0190279,1.2764750000000005e-10,2.2874999999999997e-12,3.069049644e-05,Not found,3.030439129e-05,1.1298119312522772e-05,1.5124483462254172e-06,0.005539900399826697,Not found,0.005504942442024258
../Task3/results/Phase2/result_128x128.csv,0.00011645,3.205e-05,0.019098300000000002,Not found,0.01828875,7.406475000000002e-10,1.1434750000000002e-10,3.187626910000001e-06,Not found,3.0066274875000014e-06,2.7214839701897937e-05,1.0693339048211275e-05,0.0017853926486910382,Not found,0.0017339629429431304
../Task3/results/Phase2/result_256x256.csv,0.00032994999999999997,0.0001829,0.021248700000000002,Not found,0.019921150000000002,6.979047500000001e-09,2.3672900000000004e-09,1.6036810810000005e-05,Not found,1.5642287527500002e-05,8.354069367679443e-05,4.865480449040979e-05,0.004004598707735896,Not found,0.003955033189178063
../Task3/results/Phase2/result_512x512.csv,0.0007972,0.00117975,0.02467995,Not found,0.021775700000000002,6.819166e-08,1.7521087500000008e-08,0.00021641497054749993,Not found,0.00021705092371000008,0.000261135328900553,0.00013236724481532433,0.01471104926738742,Not found,0.014732648224606466
../Task3/results/Phase2/result_1024x1024.csv,0.0260795,0.01844455,0.07800195,Not found,0.02900205,9.273595349999999e-06,1.3309194475000001e-06,0.0007864648261475,Not found,0.0008017892390475001,0.003045257846225833,0.0011536548216429384,0.028043980212293332,Not found,0.0283158831585296
../Task3/results/Phase2/result_2048x2048.csv,0.0439812,0.3013973,0.39890349999999997,Not found,0.0434596,1.2480038560000007e-05,7.622901710000001e-06,0.00199803351965,Not found,0.00197804593494,0.0035327098041022286,0.002760960287653555,0.04469936822428254,Not found,0.04447522832926212
../Task3/results/Phase2/result_4096x4096.csv,0.20631305000000003,2.5061144,2.8782483,Not found,0.102467,0.0079532767823475,0.005928419410640004,0.01603058075280999,Not found,0.013805760703199998,0.08918114589052722,0.07699622984692175,0.12661192974127672,Not found,0.11749791786750946
